Tempo,Saida_y
0,1
0.5,0.607054849167036
1,-0.0706445509194641
1.5,-0.430559837736343
2,-0.337234597333553
2.5,-0.0365507873893438
3,0.17227740701649
3.5,0.174249449634005
4,0.0493295951549796
