Tempo,Saida_y
0,1
0.1,0.980714308160414
0.2,0.926057220173685
0.3,0.841468368585087
0.4,0.733005297871371
0.5,0.607054849167036
0.6,0.470059517396837
0.7,0.328267737557716
0.8,0.18751529671431
0.9,0.0530432025707186
1,-0.0706445509194641
1.1,-0.179881721473433
1.2,-0.271899187011558
1.3,-0.344844629276098
1.4,-0.397765562291282
1.5,-0.430559837736343
1.6,-0.443898599956401
1.7,-0.439127235333739
1.8,-0.41815016794935
1.9,-0.38330540942477
2,-0.337234597333553
2.1,-0.28275388202862
2.2,-0.222730479487414
2.3,-0.159969034362036
2.4,-0.0971111708671324
2.5,-0.0365507873893438
2.6,0.0196331898130127
2.7,0.0697257040591486
2.8,0.112406007879933
2.9,0.146760246501096
3,0.17227740701649
3.1,0.188830369896915
3.2,0.196644199409026
3.3,0.19625409033144
3.4,0.188455550733253
3.5,0.174249449634005
3.6,0.154784503016734
3.7,0.131299623952242
3.8,0.105068336906641
3.9,0.077347168628054
4,0.0493295951549796
4.1,0.0221067633854791
4.2,-0.0033641673190738
4.3,-0.0262835875708615
4.4,-0.0460247809457737
4.5,-0.0621412476230471
4.6,-0.0743664939697662
4.7,-0.082607013013179
4.8,-0.0869293700827483
4.9,-0.0875424445385034
5,-0.084775962264367
5.1,-0.0790564863483921
5.2,-0.0708820187091339
5.3,-0.0607963084262274
5.4,-0.0493638693852348
5.5,-0.037146587525655
5.6,-0.0246826539035223
5.7,-0.0124684014826957
5.8,-0.000943458410496143
5.9,0.0095205345674477
6,0.0186275536832955
6.1,0.0261612268903527
6.2,0.0319854627957954
6.3,0.0360419740278298
6.4,0.0383450845302638
6.5,0.0389742762555917
6.6,0.0380649731473537
6.7,0.0357980797962807
6.8,0.0323887901646983
6.9,0.0280751604197898
7,0.0231069018514616
7.1,0.0177347981090781
7.2,0.012201088837735
7.3,0.00673109257786987
7.4,0.0015262688099879
7.5,-0.00324115459375941
7.6,-0.00743193365373349
7.7,-0.0109419521358072
7.8,-0.0137028287014412
7.9,-0.015681110557191
8,-0.0168762187076064
8.1,-0.017317341565861
8.2,-0.0170594948503613
8.3,-0.016178976586692
8.4,-0.0147684472079176
8.5,-0.0129318570826705
8.6,-0.0107794284313567
8.7,-0.00842287683252775
8.8,-0.00597103080751803
8.9,-0.00352597778687341
9,-0.00117983258235699
9.1,0.000987808275900154
9.2,0.00291169502758072
9.3,0.00454203487408207
9.4,0.00584491011022812
9.5,0.00680205419080439
9.6,0.00741005532815901
9.7,0.00767907231267682
9.8,0.0076311576938962
9.9,0.00729828930256745
10,0.00672021254946639
10.1,0.00594219336753586
10.2,0.00501277555041068
10.3,0.00398162715180718
10.4,0.00289754917454682
10.5,0.00180670665234493
10.6,0.000751128070714573
10.7,-0.000232495479378249
10.8,-0.00111369438033424
10.9,-0.00186878440314869
11,-0.00248111953263392
11.1,-0.00294105371499569
11.2,-0.00324564067869697
11.3,-0.00339810814252961
11.4,-0.00340714782846228
11.5,-0.00328606574349139
11.6,-0.00305183826455312
11.7,-0.00272411880109141
11.8,-0.00232423742401272
11.9,-0.00187423208278049
12,-0.00139594515865526
